Source,Destination,Weight
C5203670,C0029456,77.0
C5203670,C0262950,84.0
C5203670,C0242297,17.0
C5203670,C1527077,60.0
C5203670,C0042870,34.0
C5203670,C0332293,71.0
C5203670,C1563093,109.0
C5203670,C1519433,175.0
C5203670,C1370824,11.0
C5203670,C1843013,127.0
C5203670,C0184626,14.0
C5203670,C0948094,2.0
C5203670,C0184967,153.0
C5203670,C0227059,45.0
C5203670,C3541994,98.0
C5203670,C0850149,111.0
C5203670,C0003123,33.0
C5203670,C0438716,13.0
C5203670,C0948873,53.0
C5203670,C0270724,1224.0
C5203670,C2827774,23.0
C5203670,C5202815,1.0
C5203670,C5202809,155.0
C5203670,C2930619,155.0
C5203670,C0185117,27.0
C5203670,C0728940,28.0
C5203670,C0015252,34.0
C5203670,C4552790,1.0
C5203670,C3890225,1.0
C5203670,C0152244,1.0
C5203670,C2676739,105.0
C5203670,C1443060,6.0
C5203670,C0037090,10.0
C5203670,C0347950,8.0
C5203670,C0040822,96.0
C5203670,C0232462,16.0
C5203670,C1291077,9.0
C5203670,C0224086,40.0
C5203670,C0393040,20.0
C5203670,C0848168,14.0
C5203670,C0454515,4.0
C5203670,C0016204,106.0
C5203670,C0338297,263.0
C5203670,C0027442,5.0
C5203670,C0024117,79.0
C5203670,C3714496,63.0
C5203670,C0032310,7.0
C5203670,C0009421,9.0
C5203670,C1126333,4.0
C5203670,C1831721,4.0
C5203670,C0040808,21.0
C5203670,C0376161,4.0
C5203670,C0038842,18.0
C5203670,C0409974,71.0
C5203670,C0024138,83.0
C5203670,C0024131,71.0
C5203670,C0024530,85.0
C5203670,C0441636,22.0
C5203670,C0456909,45.0
C5203670,C0349410,18.0
C5203670,C0042200,24.0
C5203670,C0222041,41.0
C5203670,C0221512,43.0
C5203670,C0235309,40.0
C5203670,C0040357,43.0
C5203670,C0204774,28.0
C5203670,C0729552,5.0
C5203670,C0344191,5.0
C5203670,C0701824,5.0
C5203670,C0392674,109.0
C5203670,C0458827,34.0
C5203670,C0034115,13.0
C5203670,C0795691,23.0
C5203670,C0018790,106.0
C5203670,C4722446,11.0
C5203670,C3694279,11.0
C5203670,C0152032,50.0
C5203670,C0013103,11.0
C5203670,C0002170,21.0
C5203670,C0042384,16.0
C5203670,C0085635,4.0
C5203670,C0040132,21.0
C5203670,C0185033,56.0
C5203670,C0023884,241.0
C5203670,C0425481,63.0
C5203670,C0242073,14.0
